Interviewee,Educational Material as Categories,External Ethics Experts,One ethics committee,Ethical Training for PC,Ethics Badge,Mentoring for REC,Meta Reviews,Ethics Score: Binary,Ethics Score: Numeric,Ethics Score: Severity,Feedback to Authors: Categories,Feedback to Authors: Free Text,Internal: Categories,Internal: Free Text,Self-Assessment,Mandatory
Int-01,4,5,5,4,2,3,5,1,1,1,5,5,5,5,5,5
Int-02,4,3,3,4,2,3,5,5,3,5,3,4,3,4,2,5
Int-03,5,5,5,5,5,5,5,4,1,5,1,5,3,4,5,5
Int-04,5,4,5,2,1,5,5,2,4,5,2,5,5,5,1,3
Int-05,5,5,4,5,2,5,3,2,2,5,5,5,5,5,5,4
Int-06,4,5,4,5,1,3,4,5,2,5,5,5,5,5,3,5
Int-07,5,4,5,5,2,5,5,5,2,2,3,5,3,5,5,4
Int-08,5,5,4,4,1,5,3,5,4,4,4,4,5,5,4,5
Int-09,5,4,3,5,2,4,2,5,5,5,2,5,2,5,4,5
Int-10,5,5,5,5,2,5,2,5,2,2,2,5,2,5,5,2
Int-11,5,4,5,4,3,5,5,1,1,1,5,3,4,3,5,2
Int-12,5,5,5,4,1,4,4,5,4,4,1,1,1,5,1,1
Int-13,4,5,2,1,3,5,3,3,2,5,3,5,2,5,5,5
Int-14,5,5,5,5,4,5,5,1,1,2,5,5,4,5,5,5
Int-15,4,3,3,2,4,4,4,5,2,2,3,3,3,3,3,5
Int-16,5,5,4,4,1,3,2,4,1,2,2,5,2,5,5,5
Int-17,4,5,2,3,4,4,4,2,5,5,1,5,4,4,4,5
Int-18,4,5,4,5,3,4,5,3,3,3,2,3,3,3,5,5
Int-19,5,5,2,5,4,4,3,5,5,5,4,5,5,5,3,5
Int-20,4,5,5,5,2,4,4,5,1,1,5,4,1,5,4,5